dataStructure,K,numTrainingPoints,dim,AverageTime
KD, 10, 1000, 2, 8024
Quad, 10, 1000, 2, 5453
Bucket, 10, 1000, 2, 32966
KD, 10, 2084, 2, 5434
Quad, 10, 2084, 2, 6026
Bucket, 10, 2084, 2, 36772
KD, 10, 3324, 2, 6978
Quad, 10, 3324, 2, 8706
Bucket, 10, 3324, 2, 32870
KD, 10, 9098, 2, 12176
Quad, 10, 9098, 2, 20653
Bucket, 10, 9098, 2, 54247
KD, 10, 11039, 2, 13649
Quad, 10, 11039, 2, 24377
Bucket, 10, 11039, 2, 50317
KD, 10, 19168, 2, 18064
Quad, 10, 19168, 2, 40563
Bucket, 10, 19168, 2, 59000
KD, 10, 7296, 2, 11418
Quad, 10, 7296, 2, 17070
Bucket, 10, 7296, 2, 54502
KD, 10, 2000, 2, 5283
Quad, 10, 2000, 2, 5769
Bucket, 10, 2000, 2, 36058
KD, 10, 3000, 2, 6658
Quad, 10, 3000, 2, 8346
Bucket, 10, 3000, 2, 41173
KD, 10, 4000, 2, 7690
Quad, 10, 4000, 2, 10426
Bucket, 10, 4000, 2, 48393
KD, 10, 5500, 2, 9025
Quad, 10, 5500, 2, 13532
Bucket, 10, 5500, 2, 49823
KD, 10, 7891, 2, 11028
Quad, 10, 7891, 2, 18743
Bucket, 10, 7891, 2, 49255
KD, 10, 9715, 2, 12899
Quad, 10, 9715, 2, 21967
Bucket, 10, 9715, 2, 54493
KD, 10, 13171, 2, 14866
Quad, 10, 13171, 2, 28196
Bucket, 10, 13171, 2, 61917
KD, 10, 1121, 2, 3860
Quad, 10, 1121, 2, 3784
Bucket, 10, 1121, 2, 25105
KD, 10, 20000, 2, 18690
Quad, 10, 20000, 2, 40848
Bucket, 10, 20000, 2, 61848
KD, 10, 35890, 2, 24537
Quad, 10, 35890, 2, 69468
Bucket, 10, 35890, 2, 65111
KD, 10, 4274, 2, 8124
Quad, 10, 4274, 2, 10860
Bucket, 10, 4274, 2, 49027
KD, 10, 4645, 2, 8206
Quad, 10, 4645, 2, 11690
Bucket, 10, 4645, 2, 43283
KD, 10, 9209, 2, 12585
Quad, 10, 9209, 2, 21365
Bucket, 10, 9209, 2, 58966
KD, 10, 11374, 2, 13444
Quad, 10, 11374, 2, 25452
Bucket, 10, 11374, 2, 50694
KD, 10, 24948, 2, 20877
Quad, 10, 24948, 2, 51421
Bucket, 10, 24948, 2, 59285
KD, 10, 26893, 2, 21581
Quad, 10, 26893, 2, 54208
Bucket, 10, 26893, 2, 61684
KD, 10, 29294, 2, 23023
Quad, 10, 29294, 2, 58401
Bucket, 10, 29294, 2, 74100
KD, 10, 24950, 2, 20970
Quad, 10, 24950, 2, 50096
Bucket, 10, 24950, 2, 63607
KD, 10, 31369, 2, 23358
Quad, 10, 31369, 2, 62607
Bucket, 10, 31369, 2, 62348
KD, 10, 31345, 2, 22842
Quad, 10, 31345, 2, 62725
Bucket, 10, 31345, 2, 61919
KD, 10, 33868, 2, 24009
Quad, 10, 33868, 2, 67098
Bucket, 10, 33868, 2, 57301
KD, 10, 17860, 2, 17780
Quad, 10, 17860, 2, 37142
Bucket, 10, 17860, 2, 67625
KD, 10, 22753, 2, 19947
Quad, 10, 22753, 2, 46805
Bucket, 10, 22753, 2, 66820
KD, 10, 23841, 2, 21527
Quad, 10, 23841, 2, 48481
Bucket, 10, 23841, 2, 57960
