dataStructure,K,numTrainingPoints,dim,AverageTime
KD, 9, 1000, 2, 4004
Quad, 9, 1000, 2, 3202
Bucket, 9, 1000, 2, 25095
KD, 23, 1000, 2, 6165
Quad, 23, 1000, 2, 4862
Bucket, 23, 1000, 2, 28759
KD, 55, 1000, 2, 10048
Quad, 55, 1000, 2, 8157
Bucket, 55, 1000, 2, 29253
KD, 70, 1000, 2, 11071
Quad, 70, 1000, 2, 7396
Bucket, 70, 1000, 2, 27932
KD, 89, 1000, 2, 10800
Quad, 89, 1000, 2, 9316
Bucket, 89, 1000, 2, 27804
KD, 100, 1000, 2, 12719
Quad, 100, 1000, 2, 8531
Bucket, 100, 1000, 2, 29301
KD, 120, 1000, 2, 13160
Quad, 120, 1000, 2, 10485
Bucket, 120, 1000, 2, 29696
KD, 150, 1000, 2, 14704
Quad, 150, 1000, 2, 8499
Bucket, 150, 1000, 2, 31107
KD, 250, 1000, 2, 16508
Quad, 250, 1000, 2, 9948
Bucket, 250, 1000, 2, 30371
KD, 50, 1000, 2, 9020
Quad, 50, 1000, 2, 6598
Bucket, 50, 1000, 2, 27485
KD, 25, 1000, 2, 6576
Quad, 25, 1000, 2, 5165
Bucket, 25, 1000, 2, 29397
KD, 200, 1000, 2, 15233
Quad, 200, 1000, 2, 11348
Bucket, 200, 1000, 2, 30215
KD, 390, 1000, 2, 16555
Quad, 390, 1000, 2, 11685
Bucket, 390, 1000, 2, 30167
KD, 300, 1000, 2, 17434
Quad, 300, 1000, 2, 10266
Bucket, 300, 1000, 2, 32249
KD, 150, 1000, 2, 14855
Quad, 150, 1000, 2, 9373
Bucket, 150, 1000, 2, 28545
KD, 19, 1000, 2, 5326
Quad, 19, 1000, 2, 4879
Bucket, 19, 1000, 2, 32601
KD, 61, 1000, 2, 10416
Quad, 61, 1000, 2, 7922
Bucket, 61, 1000, 2, 29653
KD, 82, 1000, 2, 11114
Quad, 82, 1000, 2, 8328
Bucket, 82, 1000, 2, 29131
KD, 143, 1000, 2, 14236
Quad, 143, 1000, 2, 9573
Bucket, 143, 1000, 2, 30886
KD, 177, 1000, 2, 16571
Quad, 177, 1000, 2, 12392
Bucket, 177, 1000, 2, 31977
KD, 269, 1000, 2, 16992
Quad, 269, 1000, 2, 10414
Bucket, 269, 1000, 2, 27518
