dataStructure,K,numTrainingPoints,dim,AverageTime
KD, 10, 1000, 2, 3465
Bucket, 10, 1000, 3, 34272
KD, 10, 2084, 2, 4467
Bucket, 10, 2084, 3, 61089
KD, 10, 3324, 2, 5716
Bucket, 10, 3324, 3, 110644
KD, 10, 9098, 2, 8958
Bucket, 10, 9098, 3, 145697
KD, 10, 11039, 2, 9222
Bucket, 10, 11039, 3, 197174
KD, 10, 19168, 2, 11912
Bucket, 10, 19168, 3, 276232
KD, 10, 7296, 2, 8329
Bucket, 10, 7296, 3, 178127
KD, 10, 2000, 2, 4800
Bucket, 10, 2000, 3, 60672
KD, 10, 3000, 2, 5707
Bucket, 10, 3000, 3, 84476
KD, 10, 4000, 2, 6532
Bucket, 10, 4000, 3, 139446
KD, 10, 5500, 2, 7387
Bucket, 10, 5500, 3, 128019
KD, 10, 7891, 2, 9011
Bucket, 10, 7891, 3, 190873
KD, 10, 9715, 2, 9486
Bucket, 10, 9715, 3, 181097
KD, 10, 13171, 2, 10515
Bucket, 10, 13171, 3, 223985
KD, 10, 1121, 2, 3487
Bucket, 10, 1121, 3, 37678
KD, 10, 20000, 2, 12270
Bucket, 10, 20000, 3, 225543
KD, 10, 35890, 2, 15570
Bucket, 10, 35890, 3, 262841
KD, 10, 4274, 2, 7135
Bucket, 10, 4274, 3, 87333
KD, 10, 4645, 2, 7172
Bucket, 10, 4645, 3, 104498
KD, 10, 9209, 2, 9080
Bucket, 10, 9209, 3, 136932
KD, 10, 11374, 2, 10043
Bucket, 10, 11374, 3, 202323
KD, 10, 24948, 2, 13889
Bucket, 10, 24948, 3, 251286
KD, 10, 26893, 2, 14487
Bucket, 10, 26893, 3, 228188
KD, 10, 29294, 2, 14905
Bucket, 10, 29294, 3, 242170
KD, 10, 24950, 2, 13475
Bucket, 10, 24950, 3, 249826
KD, 10, 31369, 2, 15018
Bucket, 10, 31369, 3, 274105
KD, 10, 31345, 2, 15272
Bucket, 10, 31345, 3, 294236
KD, 10, 33868, 2, 15336
Bucket, 10, 33868, 3, 215240
KD, 10, 17860, 2, 12115
Bucket, 10, 17860, 3, 230022
KD, 10, 22753, 2, 13905
Bucket, 10, 22753, 3, 177826
KD, 10, 23841, 2, 13025
Bucket, 10, 23841, 3, 240544
